Name	Rank	Recognition Type	Design Format	Issuing Organization	Issuing Person
Alex	1	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Steve	2	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Stacy	3	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Harris	4	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Candice	5	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Laura	6	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Stephenie	7	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Angelina	8	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Carlos	9	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Derek	10	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Will	11	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Tom	12	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Harry	13	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Marcus	14	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Anderson	15	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Cristiano	16	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Neymar	17	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Son	18	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Messi	19	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Verrati	20	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Diera	21	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Kylien	22	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Hakimi	23	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Donnaruma	24	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Cavani	25	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Pele	26	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Maradona	27	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Zlatan	28	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
